Compound ID;InChIKey;SMILES;logS;logP;MW
C1797;RMIXHJPMNBXMBU-QIIXEHPYSA-N;C[C@@H]1C[C@H]2CC[C@H](O2)[C@H](C)C(=O)O[C@@H](C)C[C@@H]2CC[C@@H](O2)[C@@H](C)C(=O)O[C@@H](C[C@@H]2O[C@H]([C@@H](C(=O)O[C@H](C[C@H]3O[C@@H]([C@H](C(=O)O1)C)CC3)C)C)CC2)C;-9,247;6,02;736,93
C1798;BQENDLAVTKRQMS-SBBGFIFASA-L;O=C(O[C@H]1CC[C@]2([C@H](C1(C)C)CC[C@@]1([C@@H]2C(=O)C=C2[C@@]1(C)CC[C@@]1([C@H]2C[C@](C)(CC1)C(=O)[O-])C)C)C)CCC(=O)[O-].[Na+].[Na+];-9,244;4,16;614,72
C1799;JPEOONAIYXUZTI-UHFFFAOYSA-L;CC[N+](CCN1c2ccccc2Sc2c1cccc2)(CCCCCC[N+](CCN1c2ccccc2Sc2c1cccc2)(CC)CC)CC.[Br-].[Br-];-9,236;5;840,86
C1800;SIZXNBZGPPPFHM-UHFFFAOYSA-L;O=C(Nc1c(I)cc(c(c1I)C(=O)[O-])I)CCCCC(=O)Nc1c(I)cc(c(c1I)C(=O)[O-])I.[Na+].[Na+];-9,219;4,32;1183,73
C1801;UWEYRJFJVCLAGH-UHFFFAOYSA-N;FC12C(F)(C(F)(F)C(C(C2(F)F)(F)F)(F)F)C(F)(F)C(C(C1(F)F)(F)F)(F)F;-9,193;5,51;462,08
C1802;VHVPQPYKVGDNFY-UHFFFAOYSA-N;CCC(n1ncn(c1=O)c1ccc(cc1)N1CCN(CC1)c1ccc(cc1)OCC1COC(O1)(Cn1cncn1)c1ccc(cc1Cl)Cl)C;-9,174;5,71;705,63
C5;DTMRKGRREZAYAP-UHFFFAOYSA-N;Clc1cc(c(c(c1Cl)Cl)Cl)c1cc(Cl)c(c(c1Cl)Cl)Cl;-9,159;8,58;429,77
C6;JPOPEORRMSDUIP-UHFFFAOYSA-N;Clc1c(Cl)cc(c(c1c1c(Cl)c(Cl)cc(c1Cl)Cl)Cl)Cl;-9,149;8,58;429,77
C1803;UIFFUZWRFRDZJC-UHFFFAOYSA-N;CCCCCCC1C(=O)OC(C)C(C(=O)OC(C1OC(=O)CC(C)C)C)NC(=O)c1cccc(c1O)NC=O;-9,117;4,58;548,63
C1804;XZJJDJAXUSQABJ-UHFFFAOYSA-N;N(Cc1cccc2c1cccc2)CC1CCC(CC1)CNCc1cccc2c1cccc2.Cl.Cl;-9,085;9,06;495,53
C1805;ZPDJJEQOURSXEY-UHFFFAOYSA-N;N(Cc1ccc2c(c1)cccc2)CC1CCC(CC1)CNCc1ccc2c(c1)cccc2.Cl.Cl;-9,085;9,06;495,53
C1806;VGEBLZDDRJDVDP-AKAIEBDOSA-N;CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C2=O)c2C(=O)/C(=C/NN4CCNCC4)/C(=C(c2c(c3C)O)O)NC(=O)/C(=C/C=C/[C@@H]([C@@H]([C@H]([C@H]([C@H]([C@@H]([C@@H]1C)OC(=O)C)C)O)C)O)C)/C;-9,067;4,07;808,91
C7;GYFAGKUZYNFMBN-UHFFFAOYSA-N;c1cc2ccc3c4c2c(c1)c1cccc2c1c4c(cc3)cc2;-9,029;6,33;276,33
C1807;SJRYSBPDUOVODQ-UHFFFAOYSA-N;COc1ccc(cc1)C(=Cc1ccc(cc1)C(=N)N)c1ccc(cc1)OC.Cl;-8,967;6,18;394,89
C1808;KISDGNGREAJPQR-OICBGKIFSA-N;OC[C@H]1NC(=O)[C@H](C(C)C)N(c2c3c(C1)c[nH]c3c(cc2)[C@](CCC=C(C)C)(C=C)C)C;-8,947;5,25;437,62
C1809;RMIVRCBSQPCSCQ-BDANYOJNSA-N;COC(=O)[C@@]1(C)CC[C@]2([C@@H](C1)C1=CC(=O)[C@H]3[C@@]([C@@]1(CC2)C)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)C;-8,941;6,5;484,71
C8;PYZHTHZEHQHHEN-UHFFFAOYSA-N;Clc1ccc(c(c1)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl)Cl;-8,939;7,93;395,32
C1810;XHMIIRLZSKEDPY-UHFFFAOYSA-N;CC(=CCC(c1cccc2c1cccc2)(C(=O)N)CCN(CC=C(C)C)CC=C(C)C)C;-8,935;7,24;432,64
C1811;PBYJDHRFPFHVKZ-OQKDUQJOSA-N;CCCCCCOc1ccc(c2c1cccc2)C(=N)N(CCCC)CCCC.Cl;-8,933;7,93;419,04
C1812;FHKMETBBEHLTJX-OQKDUQJOSA-N;CCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCCCC)CCCCC.[Cl-];-8,933;2,71;419,04
C1813;NNKQQOOMOWTHNQ-OQKDUQJOSA-N;CCCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](CCC)CCC.[Cl-];-8,933;2,71;419,04
C1814;ZDTAJBBRWBBHSZ-LVEZLNDCSA-N;OC(=O)/C=C/C(=O)O.OC(=O)/C=C/C(=O)O.COc1cc(cc(c1OC)OC)C(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2;-8,921;5,2;830,3
C1815;DEZFNHCVIZBHBI-ZHACJKMWSA-N;O=C(c1c(O)c(Cc2c(O)c(C)c(c(c2O)C(=O)C)O)c(c2c1OC(C)(C)C=C2)O)/C=C/c1ccccc1;-8,889;5,4;516,54
C1816;CMEAGPOJDJVIAH-UHFFFAOYSA-N;OC(C1CCCC(N1)C(Cc1ccccc1)(Cc1ccccc1)O)(Cc1ccccc1)Cc1ccccc1;-8,883;6,26;505,69
C1817;OWUWCULIKLLRIP-UHFFFAOYSA-N;CCOc1nc(ncc1C(=O)OCC)N1CCN(CC1)CCC(c1ccccc1)(c1ccccc1)c1ccccc1.Cl;-8,882;6,4;587,15
C1818;JCZYXTVBWHAWLL-UHFFFAOYSA-N;Fc1ccc(cc1)C(c1ccc(cc1)F)CCCN1CCC(CC1)n1c(=O)[nH]c2c1ccc(c2)Cl;-8,878;6,45;495,99
C1819;RJURFGZVJUQBHK-IIXSONLDSA-N;O=C1N[C@H](C(C)C)C(=O)N2CCC[C@H]2C(=O)N(C)CC(=O)N([C@H](C(=O)O[C@@H]([C@@H]1NC(=O)c1c2nc3c(ccc(c3oc2c(c(=O)c1N)C)C)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C(=O)[C@H]2N(C(=O)[C@H](NC1=O)C(C)C)CCC2)C)C)C(C)C)C;-8,874;2,37;1255,42
C1820;BQUFQLHGCASYAP-BTKVJIOYSA-N;CCCCCCCCOc1ccc(c2c1cccc2)C(=N)[NH+](C(C)C)C(C)C.[Cl-];-8,808;2,71;419,04
